,actor id,actor name,character,gender,movie id,movie release year,title,age,place of birth
387,193,Gene Hackman,Royal Tenenbaum,Male,9428,2001,The Royal Tenenbaums,71,San Bernardino - California - USA
388,80108,Satoshi Tsumabuki,Suzuki,Male,30839,2001,Waterboys,21,"Yanagawa, Fukuoka, Japan"
389,54620,Branko Đurić,Ciki,Male,8342,2001,No Man's Land,39,"Sarajevo, Bosnia and Herzegovina, Yugoslavia (now Sarajevo, Bosnia and Herzegovina)"
390,5384,Method Man,Silas P. Silas,Male,8386,2001,How High,30,"Staten Island, New York, USA"
391,4252,Tony Shalhoub,Arthur Kriticos,Male,9378,2001,Thir13en Ghosts,48,"Green Bay, Wisconsin, États-Unis"
392,66193,Chris Sanders,'Stitch' (voice),Male,11544,2002,Lilo & Stitch,42,"Colorado, USA"
393,3999,Tom Hulce,Quasimodo (voice),Male,12448,2002,The Hunchback of Notre Dame II,49,"Whitewater, Wisconsin, USA"
394,107358,Harriet Owen,Jane / Young Wendy (Voice),Female,16690,2002,Return to Never Land,0,
395,42722,Michael T. Weiss,Tarzan (voice),Male,13683,2002,Tarzan & Jane,40,"Chicago, Illinois, USA"
396,60949,Rob Schneider,Clive Maxtone/Jessica Spencer,Male,11852,2002,The Hot Chick,39,"San Francisco, California, USA"
397,13548,James Spader,E. Edward Grey,Male,11013,2002,Secretary,42,"Boston, Massachusetts, USA"
398,325,Eminem,"Jimmy B. ""Rabbit"" Smith",Male,65,2002,8 Mile,30,"St. Joseph, Missouri, USA"
399,8595,Alexandre Rodrigues,Buscapé,Male,598,2002,City of God,19,"Rio de Janeiro, Rio de Janeiro, Brazil"
400,87540,Im Chang-Jung,Eun-shik,Male,16318,2002,Sex Is Zero,29,"Icheon, Gyeonggi-do, South Korea"
401,34521,Maurice LaMarche,Balto (voice),Male,25913,2002,Balto II: Wolf Quest,44,"Toronto, Ontario, Canada"
402,2037,Cillian Murphy,Jim,Male,170,2002,28 Days Later,26,"Douglas, Cork, Ireland"
403,21911,Shu Qi,Ai Lin,Female,15136,2002,So Close,26,"Xindian District, Taiwan"
404,1038,Jodie Foster,Meg Altman,Female,4547,2002,Panic Room,40,"Los Angeles, California, USA"
405,27391,Anna Galiena,Livia Mazzoni,Female,30301,2002,Black Angel,48,"Roma, Lazio, Italy"
406,15234,David Arquette,Chris McCormick,Male,8869,2002,Eight Legged Freaks,31,"Winchester, Virginia, USA"
407,5937,Kari Matchett,Kate Filmore,Female,437,2002,Cube 2: Hypercube,32,Spalding - Saskatchewan - Canada
408,69122,Heather Graham,Alice,Female,14365,2002,Killing Me Softly,32,"Milwaukee, Wisconsin, USA"
409,235332,Miyoko Shoji,"Chiyoko Fujiwara (age 70, voice)",Male,33320,2002,Millennium Actress,66,"Tokyo Prefecture, Japan"
