,actor id,actor name,character,gender,movie id,title
747,56824,Jaime Pressly,Violet,Female,18222,Poison Ivy: The New Seduction
748,1461,George Clooney,Lt. Col. Thomas Devoe,Male,6623,The Peacemaker
749,3317,Takeshi Kitano,Nishi Yoshitaka,Male,5910,Fireworks
750,26472,Steve Guttenberg,Tim Carson,Male,39346,Casper: A Spirited Beginning
751,517,Pierce Brosnan,Robinson Crusoe,Male,11210,Robinson Crusoe
752,9260,Michelle Nicastro,Princess Odette (voice),Female,54113,The Swan Princess: Escape from Castle Mountain
753,1925,Vincent Cassel,Yann Le Pentrec aka Dobermann,Male,10347,Dobermann
755,51965,Kevin Sorbo,Kull,Male,17832,Kull the Conqueror
756,192,Morgan Freeman,Alex Cross,Male,9437,Kiss the Girls
757,24047,Courtney B. Vance,Foreman,Male,12219,12 Angry Men
758,12898,Tim Allen,Michael Cromwell,Male,9446,Jungle 2 Jungle
759,10,Bob Peterson,Geri (voice),Male,13929,Geri's Game
760,7431,Kevin Zegers,Josh Framm,Male,20737,Air Bud
761,15111,Jean-Claude Van Damme,Jack Quinn,Male,9405,Double Team
762,17093,Eduardo Noriega,César,Male,1902,Open Your Eyes
763,34517,Trey Parker,Joe Young / Orgazmo,Male,8675,Orgazmo
764,514,Jack Nicholson,Melvin Udall,Male,2898,As Good as It Gets
765,18897,Jackie Chan,Jackie,Male,10622,Mr. Nice Guy
766,23931,Mira Sorvino,Romy White,Female,9611,Romy and Michele's High School Reunion
767,85,Johnny Depp,Donnie Brasco / Joseph D. 'Joe' Pistone,Male,9366,Donnie Brasco
768,18023,Robert Carlyle,Gaz,Male,9427,The Full Monty
769,8872,Rick Moranis,Wayne Szalinski,Male,11425,"Honey, We Shrunk Ourselves"
770,8196,Ulrich Mühe,Georg,Male,10234,Funny Games
771,1892,Matt Damon,Rudy Baylor,Male,11975,The Rainmaker
772,2157,Robin Williams,Professor Philip Brainard,Male,9574,Flubber
773,13240,Mark Wahlberg,Eddie Adams alias Dirk Diggler,Male,4995,Boogie Nights
774,4483,Dustin Hoffman,Stanley Motss,Male,586,Wag the Dog
