,genre,movie id,title
616,Mystery,1923,Twin Peaks: Fire Walk with Me
617,Drama,11012,Damage
618,Romance,11012,Damage
619,Horror,763,Braindead
620,Comedy,763,Braindead
621,Comedy,4507,Jamon Jamon
622,Drama,4507,Jamon Jamon
623,Romance,4507,Jamon Jamon
624,Action,39104,Dragon Ball Z: Super Android 13
625,Animation,39104,Dragon Ball Z: Super Android 13
626,Western,33,Unforgiven
627,Action,1492,1492: Conquest of Paradise
628,Adventure,1492,1492: Conquest of Paradise
629,Drama,1492,1492: Conquest of Paradise
630,History,1492,1492: Conquest of Paradise
631,Comedy,11806,Beethoven
632,Family,11806,Beethoven
633,Drama,293,A River Runs Through It
634,Drama,881,A Few Good Men
635,Action,16314,3 Ninjas
636,Adventure,16314,3 Ninjas
637,Comedy,16314,3 Ninjas
638,Family,16314,3 Ninjas
639,Comedy,10377,My Cousin Vinny
640,Drama,10377,My Cousin Vinny
641,Comedy,11287,A League of Their Own
642,Drama,11287,A League of Their Own
643,Drama,9869,Patriot Games
644,Action,9869,Patriot Games
645,Thriller,9869,Patriot Games
646,Crime,9869,Patriot Games
647,Comedy,2322,Sneakers
648,Crime,2322,Sneakers
649,Drama,2322,Sneakers
650,Action,9876,Stop! Or My Mom Will Shoot
651,Comedy,9876,Stop! Or My Mom Will Shoot
652,Action,26877,Naked Killer
653,Crime,26877,Naked Killer
654,Romance,26877,Naked Killer
655,Animation,14239,Cool World
656,Comedy,14239,Cool World
657,Fantasy,14239,Cool World
658,Drama,1883,Malcolm X
659,History,1883,Malcolm X
660,Crime,10410,Hoffa
661,History,10410,Hoffa
662,Drama,11087,The Hand that Rocks the Cradle
663,Thriller,11087,The Hand that Rocks the Cradle
664,Action,10412,Romper Stomper
665,Drama,10412,Romper Stomper
666,Thriller,10412,Romper Stomper
667,Music,2005,Sister Act
668,Comedy,2005,Sister Act
669,Horror,10163,The Lawnmower Man
670,Thriller,10163,The Lawnmower Man
671,Science Fiction,10163,The Lawnmower Man
672,Action,18672,The Legend of the Swordsman
673,Fantasy,18672,The Legend of the Swordsman
674,Drama,9475,Scent of a Woman
675,Drama,10995,The Lover
676,Romance,10995,The Lover
677,Action,14361,Captain Ron
678,Adventure,14361,Captain Ron
679,Comedy,14361,Captain Ron
680,Family,14361,Captain Ron
681,Comedy,26255,Love Potion No. 9
682,Romance,26255,Love Potion No. 9
683,Action,8845,Under Siege
684,Thriller,8845,Under Siege
685,Horror,11569,Hellraiser III: Hell on Earth
686,Thriller,11569,Hellraiser III: Hell on Earth
687,War,11569,Hellraiser III: Hell on Earth
688,Animation,22582,Tom and Jerry: The Movie
689,Family,22582,Tom and Jerry: The Movie
690,Action,14603,Kuffs
691,Comedy,14603,Kuffs
692,Crime,14603,Kuffs
693,Crime,9504,Glengarry Glen Ross
694,Drama,9504,Glengarry Glen Ross
695,Mystery,9504,Glengarry Glen Ross
696,Drama,2731,Indochine
697,Romance,2731,Indochine
698,Comedy,10414,The Mighty Ducks
699,Family,10414,The Mighty Ducks
700,Comedy,38143,The Story of Qiu Ju
701,Drama,38143,The Story of Qiu Ju
702,Thriller,9264,Poison Ivy
703,Drama,9264,Poison Ivy
704,Drama,49292,Animal Instincts
705,Thriller,49292,Animal Instincts
706,Thriller,619,The Bodyguard
707,Action,619,The Bodyguard
708,Drama,619,The Bodyguard
709,Music,619,The Bodyguard
710,Romance,619,The Bodyguard
711,Thriller,13006,Split Second
712,Action,13006,Split Second
713,Horror,13006,Split Second
714,Science Fiction,13006,Split Second
715,Crime,13006,Split Second
716,Thriller,9349,Universal Soldier
717,Action,9349,Universal Soldier
718,Science Fiction,9349,Universal Soldier
719,Crime,9349,Universal Soldier
720,Action,18855,Operation Scorpio
721,Adventure,18855,Operation Scorpio
722,Comedy,18855,Operation Scorpio
723,Comedy,11066,Boomerang
724,Romance,11066,Boomerang
725,Adventure,943,Lethal Weapon 3
726,Action,943,Lethal Weapon 3
727,Comedy,943,Lethal Weapon 3
728,Thriller,943,Lethal Weapon 3
729,Crime,943,Lethal Weapon 3
730,Drama,14684,School Ties
731,Comedy,10409,Strictly Ballroom
732,Drama,10409,Strictly Ballroom
733,Romance,10409,Strictly Ballroom
734,Comedy,16562,The Cutting Edge
735,Drama,16562,The Cutting Edge
736,Romance,16562,The Cutting Edge
737,Comedy,37527,Dr. Giggles
738,Horror,37527,Dr. Giggles
739,Mystery,37527,Dr. Giggles
740,Thriller,37527,Dr. Giggles
741,Fantasy,13225,FernGully: The Last Rainforest
742,Animation,13225,FernGully: The Last Rainforest
743,Science Fiction,13225,FernGully: The Last Rainforest
744,Family,13225,FernGully: The Last Rainforest
745,Drama,13225,FernGully: The Last Rainforest
746,Science Fiction,24230,Nemesis
747,Thriller,24230,Nemesis
748,Action,10538,Passenger 57
749,Adventure,10538,Passenger 57
750,Thriller,10538,Passenger 57
751,Comedy,10403,The Player
752,Drama,10403,The Player
753,Comedy,108777,Dreaming About You
754,Romance,108777,Dreaming About You
755,Comedy,27381,Innocent Blood
756,Horror,27381,Innocent Blood
757,Thriller,27381,Innocent Blood
758,Crime,27381,Innocent Blood
759,Comedy,23939,Stay Tuned
760,Fantasy,23939,Stay Tuned
761,Comedy,10158,White Men Can't Jump
762,Drama,10158,White Men Can't Jump
763,Action,9367,El Mariachi
764,Crime,9367,El Mariachi
765,Thriller,9367,El Mariachi
766,Adventure,11158,Honey I Blew Up the Kid
767,Comedy,11158,Honey I Blew Up the Kid
768,Family,11158,Honey I Blew Up the Kid
